Full Name,Account Number,CIBIL Score,Address,State,City,Country,Mobile Number,PAN Card Number,Occupation,Branch of the Bank,Annual Income (in Rs),Gender
Renee Dayal,794843871722,367,"138, Dugar Path, Rajpur Sonarpur-590544",Uttar Pradesh,Lucknow,India,6990527801,UTVQH01965,Pharmacist,Union Bank - Lucknow Branch,321958,Female
Bhavin Toor,963450436285,601,"368, Chana, Amravati-727268",Madhya Pradesh,Indore,India,6598772407,QWYJQ44260,Marketing Executive,Union Bank - Indore Branch,871155,Male
Nitara Venkataraman,314939397126,678,"10/81, Dhar Road, Dehradun-400493",Rajasthan,Jaipur,India,6188847212,LWOIF64245,Lawyer,Union Bank - Jaipur Branch,331932,Female
Purab Lata,269085222633,427,"54, Chhabra Nagar, Darbhanga-266575",West Bengal,Siliguri,India,1371275494,IJQHK30852,Pharmacist,Union Bank - Siliguri Branch,1614414,Male
Nitara Lad,801266852126,824,"H.No. 784, Kadakia Zila, Ratlam-780493",Punjab,Ludhiana,India,5726682191,VNFLL55257,Teacher,Union Bank - Ludhiana Branch,459178,Female
Lavanya Sankar,528072251252,396,"62/392, Virk Road, Akola-557155",Uttar Pradesh,Lucknow,India,8667146911,ETNNB79978,Bank Manager,Union Bank - Lucknow Branch,1892743,Others
Navya Borra,589841198524,422,"H.No. 480, Hayre Ganj, Phusro-422135",Delhi,New Delhi,India,1564642529,LHJTR37048,Bank Manager,Union Bank - New Delhi Branch,310268,Others
Indrajit Bala,480323903949,811,"03, Gour Chowk, Thoothukudi-515540",Karnataka,Mysuru,India,6715386458,WUDYP34000,Software Engineer,Union Bank - Mysuru Branch,932180,Others
Kiaan Bahl,152204672578,858,"H.No. 94, Vala Nagar, Thiruvananthapuram 060320",Uttar Pradesh,Kanpur,India,4621676251,HVUWC36778,Civil Engineer,Union Bank - Kanpur Branch,1303462,Others
Jiya Sagar,629733773648,503,"H.No. 597, Arya Path, Suryapet-976890",Tamil Nadu,Coimbatore,India,8254233951,AYQQV21211,Bank Manager,Union Bank - Coimbatore Branch,337337,Others
Dishani Bawa,163165783163,442,"72, Bath, Gopalpur-267423",Punjab,Jalandhar,India,2118600795,IUNVX29780,Teacher,Union Bank - Jalandhar Branch,1199890,Others
Manikya Sandal,567807375180,683,"23/059, Mann Ganj, Thiruvananthapuram-479208",West Bengal,Kolkata,India,3713987899,ZXZXK22967,Lawyer,Union Bank - Kolkata Branch,1770006,Others
Prisha Vaidya,650961653791,437,"H.No. 35, Tiwari Nagar, Kadapa-798173",Gujarat,Surat,India,5546577540,UMCEU11353,Business Owner,Union Bank - Surat Branch,1336074,Others
Piya Hari,484254697650,393,"228, Raju Ganj, Chennai 212414",West Bengal,Kolkata,India,3010637565,WAGFD94340,Lawyer,Union Bank - Kolkata Branch,1112756,Others
Advik Suri,857307431876,387,"H.No. 38, Halder Marg, Warangal 420654",Uttar Pradesh,Varanasi,India,1945023367,AAGFU81467,Bank Manager,Union Bank - Varanasi Branch,375203,Others
Tushar Gola,717380776298,533,"H.No. 26, Goswami Path, Ghaziabad 453209",Gujarat,Ahmedabad,India,7280857805,HEZGB60574,Teacher,Union Bank - Ahmedabad Branch,1439911,Others
Pari Saran,919545187651,838,"H.No. 692, Rama Zila, Kochi 668598",Rajasthan,Jaipur,India,5541602035,XXNGK57247,Business Owner,Union Bank - Jaipur Branch,478167,Others
Zara Kumar,555777742137,885,"11/597, Sengupta Ganj, Jabalpur-784565",Punjab,Ludhiana,India,8134788855,XTHFJ61755,Civil Engineer,Union Bank - Ludhiana Branch,241090,Others
Indranil Kunda,468978109129,428,"H.No. 44, Basak Ganj, Gurgaon 624996",Maharashtra,Mumbai,India,5337613078,ZIYPZ08746,Business Owner,Union Bank - Mumbai Branch,529365,Others
Navya Chana,309174684597,301,"137, Dube Circle, Tiruchirappalli 165115",Maharashtra,Pune,India,4914952356,URAWT54915,Business Owner,Union Bank - Pune Branch,1313396,Others
Prisha Soman,807605601584,444,"93/971, Chahal Chowk, Jorhat 406118",Uttar Pradesh,Varanasi,India,5913306945,MHYSB12059,Bank Manager,Union Bank - Varanasi Branch,987201,Others
Mehul Uppal,378487038663,316,"H.No. 39, Konda, Motihari-786459",West Bengal,Kolkata,India,8091871879,AIPSZ35503,Bank Manager,Union Bank - Kolkata Branch,1570455,Others
Inaaya  Baria,987361086290,879,"569, Dugar Zila, Berhampur-426035",West Bengal,Kolkata,India,5551411982,HIUCR34735,Software Engineer,Union Bank - Kolkata Branch,1966891,Others
