Full Name,Account Number,CIBIL Score,Monthly_Income,Credit_Limit,Primary_Card,XGB_Primary_Card
Renee Dayal,794843871722,367,26829.833333333332,26829.833333333332,No Card,No Card
Bhavin Toor,963450436285,601,72596.25,145192.5,No Card,No Card
Nitara Venkataraman,314939397126,678,27661.0,55322.0,No Card,No Card
Purab Lata,269085222633,427,134534.5,134534.5,No Card,No Card
Nitara Lad,801266852126,824,38264.833333333336,191324.1666666667,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Lavanya Sankar,528072251252,396,157728.58333333334,157728.58333333334,No Card,No Card
Navya Borra,589841198524,422,25855.666666666668,25855.666666666668,No Card,No Card
Indrajit Bala,480323903949,811,77681.66666666667,388408.3333333334,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Kiaan Bahl,152204672578,858,108621.83333333333,543109.1666666666,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Jiya Sagar,629733773648,503,28111.416666666668,28111.416666666668,No Card,No Card
Dishani Bawa,163165783163,442,99990.83333333333,99990.83333333333,No Card,No Card
Manikya Sandal,567807375180,683,147500.5,295001.0,No Card,No Card
Prisha Vaidya,650961653791,437,111339.5,111339.5,No Card,No Card
Piya Hari,484254697650,393,92729.66666666667,92729.66666666667,No Card,No Card
Advik Suri,857307431876,387,31266.916666666668,31266.916666666668,No Card,No Card
Tushar Gola,717380776298,533,119992.58333333333,119992.58333333333,No Card,No Card
Pari Saran,919545187651,838,39847.25,199236.25,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Zara Kumar,555777742137,885,20090.833333333332,100454.16666666666,No Card,No Card
Indranil Kunda,468978109129,428,44113.75,44113.75,No Card,No Card
Navya Chana,309174684597,301,109449.66666666667,109449.66666666667,No Card,No Card
Prisha Soman,807605601584,444,82266.75,82266.75,No Card,No Card
Mehul Uppal,378487038663,316,130871.25,130871.25,No Card,No Card
Inaaya  Baria,987361086290,879,163907.58333333334,819537.9166666667,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Oorja Chanda,361879167325,593,43922.416666666664,43922.416666666664,No Card,No Card
Kiara Yogi,314830732617,879,120634.75,603173.75,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Kartik Ganesan,127932167704,874,82645.25,413226.25,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Yashvi Mangal,722998330361,533,25279.583333333332,25279.583333333332,No Card,No Card
Ryan Sangha,516299125917,704,123697.66666666667,371093.0,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Yuvaan Wali,593550028458,629,121896.0,243792.0,No Card,No Card
Farhan Bakshi,634470026400,466,32064.916666666668,32064.916666666668,No Card,No Card
Baiju Kibe,155296037958,487,133002.08333333334,133002.08333333334,No Card,No Card
Riya Wason,983287744228,312,139207.08333333334,139207.08333333334,No Card,No Card
Zoya Chand,410327129142,726,99119.66666666667,297359.0,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Darshit Chander,837665758277,887,125614.25,628071.25,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Veer Bhakta,936538665034,477,57186.0,57186.0,No Card,No Card
Suhana Dhingra,576575773806,413,93086.66666666667,93086.66666666667,No Card,No Card
Yasmin Wagle,217993277640,587,145730.16666666666,145730.16666666666,No Card,No Card
Aradhya Agarwal,544017430163,725,29727.5,89182.5,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Onkar Dash,702208939198,636,136104.75,272209.5,No Card,No Card
Rhea Venkataraman,326347082552,637,116506.58333333333,233013.16666666666,No Card,No Card
Divij Dar,473517320824,375,71234.25,71234.25,No Card,No Card
Jayan Butala,245685612813,575,60586.25,60586.25,No Card,No Card
Zara Bhavsar,508136174076,547,70678.58333333333,70678.58333333333,No Card,No Card
Lakshit Karnik,173743233985,795,141745.16666666666,425235.5,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Miraan Borra,355640235690,520,22143.75,22143.75,No Card,No Card
Samar Kota,788346557527,574,114879.75,114879.75,No Card,No Card
Kimaya Babu,960154939647,322,23721.166666666668,23721.166666666668,No Card,No Card
Biju Loke,449434084823,890,96106.41666666667,480532.0833333334,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Diya Sur,619458961455,533,65976.91666666667,65976.91666666667,No Card,No Card
Aniruddh Hayer,718406575234,555,43252.5,43252.5,No Card,No Card
Nitya Manda,579121188520,536,131460.25,131460.25,No Card,No Card
Mishti Luthra,213941941111,753,62986.583333333336,188959.75,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Zeeshan Hari,331745431785,370,39461.5,39461.5,No Card,No Card
Kiaan D’Alia,410949334262,477,44269.666666666664,44269.666666666664,No Card,No Card
Neysa Wable,581952264220,614,60681.5,121363.0,No Card,No Card
Adah Grewal,841598330271,742,63824.5,191473.5,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Krish Deep,582561188470,461,57457.666666666664,57457.666666666664,No Card,No Card
Rania Wagle,176863908233,312,125451.33333333333,125451.33333333333,No Card,No Card
Ela Mallick,812035013855,491,56104.5,56104.5,No Card,No Card
Manikya Sinha,700365403666,573,45788.083333333336,45788.083333333336,No Card,No Card
Chirag Venkataraman,330324658668,380,72165.58333333333,72165.58333333333,No Card,No Card
Zara Subramanian,825777320885,745,126626.0,379878.0,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Eva Lanka,422366636657,643,124042.25,248084.5,No Card,No Card
Zeeshan Kumer,193584710783,517,124017.08333333333,124017.08333333333,No Card,No Card
Shaan Sachar,409681227769,500,121134.75,121134.75,No Card,No Card
Nitara Choudhry,638499781238,604,74863.41666666667,149726.83333333334,No Card,No Card
Indrajit Badami,284871328354,744,165040.66666666666,495122.0,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Fateh Deshpande,293311107084,513,138807.41666666666,138807.41666666666,No Card,No Card
Zain Sandal,666109590243,460,22345.666666666668,22345.666666666668,No Card,No Card
Renee Kara,236445859684,588,70710.91666666667,70710.91666666667,No Card,No Card
Aayush Ravi,273708161239,412,125047.58333333333,125047.58333333333,No Card,No Card
Hiran Kar,876726709629,399,92217.16666666667,92217.16666666667,No Card,No Card
Manikya Barad,788561209048,653,73236.91666666667,146473.83333333334,No Card,No Card
Pranay Lalla,656054897768,875,64403.583333333336,322017.9166666667,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Vivaan Krishnan,831386480075,780,38042.333333333336,114127.0,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Vardaniya Kumer,958863470045,626,83632.58333333333,167265.16666666666,No Card,No Card
Farhan Sarkar,515948108248,760,91411.83333333333,274235.5,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Renee Deshmukh,989050048912,330,25544.166666666668,25544.166666666668,No Card,No Card
Sumer Raju,309093841380,878,67030.41666666667,335152.0833333334,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Kabir Vora,404930772604,818,55028.083333333336,275140.4166666667,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Rasha Brahmbhatt,647472427685,762,164451.25,493353.75,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Divit Mallick,967538147574,562,83824.08333333333,83824.08333333333,No Card,No Card
Himmat Magar,921270138165,817,142362.41666666666,711812.0833333333,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Zain Bansal,308418760493,751,34021.75,102065.25,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Saksham Bala,245259416549,571,132472.75,132472.75,No Card,No Card
Zeeshan Singh,468688555393,672,130309.58333333333,260619.16666666666,No Card,No Card
Samar Garg,128306901753,484,118367.08333333333,118367.08333333333,No Card,No Card
Aradhya Agarwal,488132454329,499,39319.666666666664,39319.666666666664,No Card,No Card
Heer Sathe,357341525868,349,140629.16666666666,140629.16666666666,No Card,No Card
Ira Chander,124582644931,805,99159.41666666667,495797.0833333334,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Diya Sha,581109887040,818,33523.583333333336,167617.9166666667,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Shanaya Kanda,693428159778,349,33064.083333333336,33064.083333333336,No Card,No Card
Yakshit Salvi,203493651683,886,63446.083333333336,317230.4166666667,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Abram Sarna,804837221039,756,122645.08333333333,367935.25,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Aarav Maharaj,480649767421,707,156013.58333333334,468040.75,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Hazel Yohannan,830348377278,744,103899.75,311699.25,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Nitara Sem,861870590350,872,95842.5,479212.5,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Myra Koshy,898298107670,731,148699.83333333334,446099.5,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Kiara Kumar,809508336782,879,57323.25,286616.25,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Saira Chakrabarti,406304028515,893,63723.75,318618.75,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Ivana Subramaniam,654324500138,363,81836.5,81836.5,No Card,No Card
Kiara Gulati,616542095074,807,133508.91666666666,667544.5833333333,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Jivika Shan,712106075498,400,125978.0,125978.0,No Card,No Card
Raunak Master,702751517632,670,100607.75,201215.5,No Card,No Card
Kismat Wali,330029407088,451,64989.916666666664,64989.916666666664,No Card,No Card
Taran Deep,776976299872,353,122455.0,122455.0,No Card,No Card
Alisha Madan,134495184613,389,18603.916666666668,18603.916666666668,No Card,No Card
Hansh Kata,712795960525,430,106073.0,106073.0,No Card,No Card
Zaina Gupta,231309152784,630,142988.08333333334,285976.1666666667,No Card,No Card
Piya Ratta,211410113580,758,67257.16666666667,201771.5,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Akarsh Chatterjee,979988381305,495,61129.666666666664,61129.666666666664,No Card,No Card
Fateh Warrior,539024945916,767,133127.25,399381.75,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Nirvi Tara,560089426396,466,126908.75,126908.75,No Card,No Card
Mishti Ravi,330308610410,535,163970.0,163970.0,No Card,No Card
Mamooty Virk,668614011160,551,78511.58333333333,78511.58333333333,No Card,No Card
Anya Kar,628866870948,300,52692.916666666664,52692.916666666664,No Card,No Card
Anya Venkatesh,369897863003,844,93839.58333333333,469197.9166666666,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Anahi Sangha,351965344616,357,59715.666666666664,59715.666666666664,No Card,No Card
Armaan Desai,861787288308,608,123763.33333333333,247526.66666666666,No Card,No Card
Neysa Warrior,424534328544,790,150909.0,452727.0,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Dishani Malhotra,338820858892,361,98227.66666666667,98227.66666666667,No Card,No Card
Hiran Mann,145272862020,372,135456.0,135456.0,No Card,No Card
Urvi Wason,527456885079,715,20748.666666666668,62246.0,No Card,No Card
Aarush Anand,221485686863,568,41909.833333333336,41909.833333333336,No Card,No Card
Baiju Borah,583118902654,824,38726.0,193630.0,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Jivika Chaudhuri,848255508571,865,114060.58333333333,570302.9166666666,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Mishti Sarma,261096473169,586,142032.0,142032.0,No Card,No Card
Madhup Bakshi,696502238339,705,27813.916666666668,83441.75,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Divij Barad,974523517531,723,70721.91666666667,212165.75,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Yashvi Bhasin,965819827128,769,162677.16666666666,488031.5,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Faiyaz Balay,889212567347,817,28027.5,140137.5,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Indranil Yohannan,312480706014,513,56729.5,56729.5,No Card,No Card
Ritvik Chandran,413647569834,897,129185.33333333333,645926.6666666666,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Myra Rastogi,908761077730,859,161424.58333333334,807122.9166666667,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Suhana Uppal,378722108752,596,17832.166666666668,17832.166666666668,No Card,No Card
Mishti Kalita,202337191857,867,65512.166666666664,327560.8333333333,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Saira Sheth,883468536676,545,114824.0,114824.0,No Card,No Card
Jayan Setty,345153687472,686,17722.166666666668,35444.333333333336,No Card,No Card
Adah Varma,500674180753,328,129115.0,129115.0,No Card,No Card
Vardaniya Chanda,710050444839,894,27886.083333333332,139430.41666666666,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Parinaaz Bora,344299963946,792,40749.833333333336,122249.5,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Hazel Chopra,570676559402,864,87578.08333333333,437890.4166666666,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Shalv Banerjee,320350591582,317,69064.66666666667,69064.66666666667,No Card,No Card
Fateh Vora,166718394637,360,163015.58333333334,163015.58333333334,No Card,No Card
Mehul Dash,586602388882,892,127781.83333333333,638909.1666666666,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Anaya Das,189346820429,888,106592.58333333333,532962.9166666666,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Ishaan Hari,139257057765,881,99675.58333333333,498377.9166666666,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Pihu Rama,763803528541,878,135357.41666666666,676787.0833333333,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Krish Majumdar,372375523675,694,86557.33333333333,173114.66666666666,No Card,No Card
Zain Dey,938137793712,882,45939.916666666664,229699.5833333333,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Jayan Sehgal,787745815370,467,92825.83333333333,92825.83333333333,No Card,No Card
Divyansh Kuruvilla,144359489840,876,154186.41666666666,770932.0833333333,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Jayant Chanda,648513351995,416,158045.66666666666,158045.66666666666,No Card,No Card
Dhanuk Chander,989530145783,363,57464.166666666664,57464.166666666664,No Card,No Card
Indranil Sundaram,789912358172,607,142093.91666666666,284187.8333333333,No Card,No Card
Purab Yogi,309395456532,715,126807.08333333333,380421.25,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Pari Iyengar,484814909723,557,18711.5,18711.5,No Card,No Card
Advik Sandhu,364026653093,436,91208.16666666667,91208.16666666667,No Card,No Card
Inaaya  Rau,398607259709,540,33472.0,33472.0,No Card,No Card
Ela Divan,194572549664,352,57602.833333333336,57602.833333333336,No Card,No Card
Misha Doshi,256692215283,544,28265.166666666668,28265.166666666668,No Card,No Card
Alisha Sarkar,582189873276,508,143425.08333333334,143425.08333333334,No Card,No Card
Biju Ramachandran,656797523242,444,117242.83333333333,117242.83333333333,No Card,No Card
Jayan Shetty,275435491866,603,32005.333333333332,64010.666666666664,No Card,No Card
Zoya Sule,902075817851,859,34501.666666666664,172508.3333333333,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Purab Bhagat,134775825530,780,103298.08333333333,309894.25,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Ojas Dugar,842116839015,585,68591.16666666667,68591.16666666667,No Card,No Card
Keya Dugar,470095340718,457,91451.75,91451.75,No Card,No Card
Shanaya Bera,299475583709,671,67939.16666666667,135878.33333333334,No Card,No Card
Vanya Balay,639411078332,537,157874.16666666666,157874.16666666666,No Card,No Card
Devansh Bakshi,562311697457,822,113979.33333333333,569896.6666666666,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Kanav Mand,715214191747,615,93142.5,186285.0,No Card,No Card
Armaan Sankaran,881650825133,842,122225.16666666667,611125.8333333334,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Hansh Lad,764907983926,771,34914.083333333336,104742.25,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Tanya Sule,891664618249,441,26867.416666666668,26867.416666666668,No Card,No Card
Damini Brahmbhatt,338204395635,800,149690.25,748451.25,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Diya Saxena,989606160128,729,37801.5,113404.5,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Eshani Sampath,628810817724,376,80799.83333333333,80799.83333333333,No Card,No Card
Suhana Bail,776049099953,823,108215.91666666667,541079.5833333334,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Divit Bahl,503246657407,701,81069.83333333333,243209.5,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Nitara Wable,717260560050,860,114222.66666666667,571113.3333333334,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Ritvik Keer,741099561069,593,156660.25,156660.25,No Card,No Card
Indrajit Divan,653553381402,574,119493.0,119493.0,No Card,No Card
Vivaan Malhotra,472106874504,878,113271.91666666667,566359.5833333334,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Priyansh Tak,740675993012,661,89530.91666666667,179061.83333333334,No Card,No Card
Anya Shan,883965112517,711,138327.75,414983.25,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Urvi Seshadri,165824646999,431,77976.33333333333,77976.33333333333,No Card,No Card
Himmat Sankar,860893271963,806,112871.16666666667,564355.8333333334,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Adah Jhaveri,778420451789,872,164653.83333333334,823269.1666666667,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Mannat Bhakta,269239718505,465,97795.66666666667,97795.66666666667,No Card,No Card
Aradhya Bhakta,213758211943,725,120571.83333333333,361715.5,Union JCB Wellness Credit Card,Union JCB Wellness Credit Card
Yuvaan Bava,972537267274,501,81107.5,81107.5,No Card,No Card
